num,name
345,神楽坂駅
346,神泉駅
347,神田駅
348,神谷町駅
349,秋葉原駅
350,稲荷町駅
351,穴守稲荷駅
352,立会川駅
353,竹ノ塚駅
354,竹橋駅
355,竹芝駅
356,笹塚駅
357,等々力駅
358,築地市場駅
359,築地駅
360,篠崎駅
361,糀谷駅
362,経堂駅
363,綾瀬駅
364,緑が丘駅
365,練馬春日町駅
366,練馬駅
367,練馬高野台駅
368,自由が丘駅
369,舎人公園駅
370,舎人駅
371,船堀駅
372,芝公園駅
373,芝浦ふ頭駅
374,芦花公園駅
375,若松河田駅
376,若林駅
377,茅場町駅
378,茗荷谷駅
379,荏原中延駅
380,荏原町駅
381,荒川一中前駅
382,荒川七丁目駅
383,荒川二丁目駅
384,荒川区役所前駅
385,荒川車庫前駅
386,荒川遊園地前駅
387,荻窪駅
388,菊川駅
389,落合南長崎駅
390,落合駅
391,葛西臨海公園駅
392,葛西駅
393,蒲田駅
394,蓮根駅
395,蓮沼駅
396,蔵前駅
397,虎ノ門ヒルズ駅
398,虎ノ門駅
399,表参道駅
400,西ケ原四丁目駅
401,西ケ原駅
402,西台駅
403,西大井駅
404,西大島駅
405,西太子堂駅
406,西小山駅
407,西巣鴨駅
408,西新井大師西駅
409,西新井駅
410,西新宿五丁目駅
411,西新宿駅
412,西日暮里駅
413,西早稲田駅
414,西武新宿駅
415,西永福駅
416,西荻窪駅
417,西葛西駅
418,西馬込駅
419,西高島平駅
420,要町駅
421,見沼代親水公園駅
422,護国寺駅
423,谷在家駅
424,谷塚駅
425,豊島園駅
426,豊洲駅
427,豪徳寺駅
428,赤土小学校前駅
429,赤坂見附駅
430,赤坂駅
431,赤羽岩淵駅
432,赤羽橋駅
433,赤羽駅
434,越中島駅
435,足立小台駅
436,辰巳駅
437,都庁前駅
438,都立大学駅
439,都立家政駅
440,都電雑司ケ谷駅
441,野方駅
442,金町駅
443,銀座一丁目駅
444,銀座駅
445,錦糸町駅
446,鐘ケ淵駅
447,長原駅
448,門前仲町駅
449,阿佐ケ谷駅
450,雑司が谷駅
451,雑色駅
452,雪が谷大塚駅
453,青井駅
454,青山一丁目駅
455,青物横丁駅
456,青砥駅
457,面影橋駅
458,飛鳥山駅
459,飯田橋駅
460,馬喰横山駅
461,馬喰町駅
462,馬込駅
463,駒場東大前駅
464,駒沢大学駅
465,駒込駅
466,高井戸駅
467,高円寺駅
468,高島平駅
469,高田馬場駅
470,高輪ゲートウェイ駅
471,高輪台駅
472,高野駅
473,鮫洲駅
474,鵜の木駅
475,鶯谷駅
476,鷺ノ宮駅
477,麹町駅
478,麻布十番駅
