num,name
0,1
1,12SLDK
2,1DK
3,1K
4,1LDK
5,1LK
6,1SDK
7,1SK
8,1SLDK
9,1SLK
10,2DK
11,2K
12,2LDK
13,2LK
14,2SDK
15,2SK
16,2SLDK
17,3DK
18,3K
19,3LDK
20,3LK
21,3SDK
22,3SK
23,3SLDK
24,42DK
25,4DK
26,4K
27,4LDK
28,4SDK
29,4SK
30,4SLDK
31,5DK
32,5K
33,5LDK
34,5SDK
35,5SLDK
36,6DK
37,6K
38,6LDK
39,6SDK
40,6SK
41,6SLDK
42,7DK
43,7K
44,7LDK
45,7SLDK
46,8K
